Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;15;100;0;100;15;100;0;100;15;100
2;0;100;29;100;0;100;28;100;0;100;28;100
3;0;100;42;100;0;100;42;100;0;100;42;100
4;0;100;56;100;0;100;55;100;0;100;56;100
5;0;100;69;100;0;100;68;100;0;100;70;100
6;0;100;82;100;0;100;81;100;0;100;83;100
7;2;100;95;100;0;100;95;100;1;100;97;100
8;5;100;109;100;1;100;108;100;3;100;111;100
9;7;100;122;100;2;100;121;100;5;100;124;100
10;13;100;135;100;3;100;134;100;9;100;138;100
11;20;100;149;100;5;100;148;100;15;100;153;100
12;26;100;162;100;8;100;161;100;20;100;167;100
13;33;100;176;100;11;100;174;100;27;100;181;100
14;47;100;189;100;15;100;188;100;40;100;195;100
15;58;100;203;100;21;100;201;100;51;100;210;100
16;69;100;217;100;26;100;215;100;61;100;224;100
17;81;100;231;100;32;100;230;100;73;100;238;100
18;97;100;245;100;40;100;244;100;89;100;253;100
19;125;100;259;100;49;100;258;100;115;100;267;100
20;144;100;273;100;58;100;272;100;133;100;282;100
21;217;100;288;100;68;100;286;100;202;100;296;100
22;241;100;302;100;81;100;300;100;226;100;311;100
23;267;100;316;100;94;100;314;100;251;100;326;100
24;341;100;331;100;109;100;328;100;321;100;340;100
25;390;100;345;100;125;100;342;100;367;100;355;100
26;424;100;359;100;142;100;357;100;400;100;370;100
27;482;100;373;100;161;100;371;100;456;100;385;100
28;573;100;388;100;184;100;386;100;542;100;400;100
29;623;100;402;100;209;100;400;100;591;100;414;100
30;674;100;417;100;235;100;414;100;641;100;429;100
31;755;100;431;100;262;100;428;100;719;100;444;100
32;814;100;446;100;291;100;443;100;777;100;459;100
33;911;100;460;100;324;100;458;100;871;100;475;100
34;1062;100;475;100;349;100;472;100;1017;100;490;100
35;1182;100;490;100;389;100;487;100;1133;100;505;100
36;1294;100;504;100;427;100;502;100;1244;100;520;100
80;2022;100;519;100;673;100;517;100;1971;100;537;100
100;3846;100;535;100;1131;100;533;100;3808;100;554;100
120;5246;100;551;100;1829;100;548;100;5192;100;571;100
160;7851;100;567;100;3136;100;564;100;7783;100;589;100
