Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;15;100;0;100;17;100;0;100;15;100
2;1;100;29;100;0;100;31;100;0;100;30;100
3;1;0;43;0;0;0;45;0;0;0;44;0
4;1;0;57;0;0;0;59;0;0;0;58;0
5;1;0;71;0;0;0;72;0;0;0;72;0
6;17;100;85;100;11;100;86;100;1;100;87;100
7;18;0;99;0;11;0;100;0;2;0;101;0
8;24;0;113;0;12;0;114;0;8;0;115;0
9;62;100;127;100;39;100;129;100;16;100;129;100
10;66;0;141;0;41;0;142;0;19;0;144;0
11;75;0;155;0;43;0;156;0;28;0;159;0
12;84;0;169;0;46;0;170;0;36;0;173;0
13;95;0;184;0;49;0;184;0;47;0;187;0
14;240;100;199;100;147;100;199;100;109;100;202;100
15;256;0;213;0;152;0;213;0;124;0;217;0
16;283;0;228;0;170;0;227;0;145;0;233;0
17;298;0;242;0;178;0;242;0;159;0;247;0
18;331;0;257;0;186;0;256;0;190;0;262;0
19;385;0;272;0;255;0;271;0;241;0;277;0
20;432;0;286;0;265;0;285;0;286;0;292;0
21;474;0;301;0;276;0;300;0;327;0;307;0
22;1257;100;317;100;536;100;314;100;614;100;324;100
23;1314;0;331;0;550;0;329;0;668;0;339;0
24;1389;0;346;0;565;0;344;0;739;0;354;0
25;1439;0;361;0;582;0;359;0;786;0;369;0
26;1477;0;376;0;601;0;374;0;823;0;384;0
27;1535;0;391;0;621;0;389;0;880;0;400;0
28;1627;0;405;0;644;0;403;0;969;0;416;0
29;1673;0;420;0;667;0;418;0;1013;0;431;0
30;1726;0;436;0;694;0;434;0;1064;0;446;0
31;1861;0;451;0;721;0;448;0;1195;0;462;0
32;1921;0;466;0;751;0;463;0;1253;0;477;0
33;2020;0;481;0;785;0;478;0;1350;0;493;0
34;2174;0;496;0;811;0;493;0;1501;0;509;0
35;2300;0;511;0;852;0;509;0;1619;0;525;0
36;2415;0;527;0;891;0;524;0;1732;0;541;0
80;3156;0;542;0;1140;0;539;0;2472;0;557;0
100;5035;0;559;0;1612;0;555;0;4307;0;575;0
120;6464;0;575;0;2327;0;571;0;5719;0;592;0
160;9139;0;592;0;3671;0;587;0;8384;0;611;0
