Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;16;100;0;100;15;100;0;100;15;100
2;1;100;30;100;0;100;30;100;0;100;30;100
3;3;100;44;100;0;100;44;100;0;100;44;100
4;7;100;58;100;0;100;58;100;0;100;58;100
5;13;100;72;100;1;100;72;100;0;100;72;100
6;27;100;86;100;11;100;86;100;0;100;86;100
7;52;100;100;100;28;100;100;100;2;100;100;100
8;78;100;114;100;46;100;114;100;6;100;115;100
9;132;100;128;100;72;100;128;100;18;100;129;100
10;374;100;143;100;104;100;142;100;42;100;144;100
11;541;100;157;100;162;100;157;100;51;100;159;100
12;612;100;171;100;217;100;172;100;61;100;173;100
13;709;100;186;100;285;100;186;100;91;100;188;100
14;863;100;201;100;386;100;201;100;155;100;203;100
15;1159;100;215;100;491;100;215;100;186;100;218;100
16;1472;100;230;100;601;100;229;100;313;100;233;100
17;1657;100;245;100;730;100;244;100;367;100;248;100
18;1873;100;260;100;879;100;258;100;427;100;264;100
19;2304;100;274;100;1074;100;273;100;754;100;280;100
20;2606;100;289;100;1279;100;288;100;982;100;296;100
21;2968;100;303;100;1522;100;303;100;1252;100;312;100
22;3636;100;318;100;1756;100;318;100;1376;100;329;100
23;4071;100;333;100;2045;100;333;100;1542;100;345;100
24;4788;100;349;100;2382;100;348;100;2162;100;362;100
25;6077;100;364;100;2713;100;367;100;2463;100;381;100
26;7237;100;379;100;3095;100;382;100;3512;100;399;100
27;9176;100;395;100;3508;100;398;100;5013;100;419;100
28;10868;100;411;100;3941;100;413;100;5807;100;439;100
29;11563;100;426;100;4417;100;429;100;6261;100;456;100
30;12735;100;441;100;4953;100;444;100;7784;100;474;100
31;13669;100;457;100;5561;100;460;100;8368;100;492;100
32;15451;100;473;100;6183;100;475;100;8943;100;511;100
33;19232;100;492;100;6854;100;492;100;12666;100;536;100
34;20797;100;509;100;7596;100;509;100;14766;100;555;100
35;23860;100;526;100;8381;100;524;100;16303;100;577;100
36;27078;100;542;100;9189;100;542;100;19454;100;599;100
80;34651;100;560;100;14300;100;561;100;29539;100;624;100
100;47691;100;581;100;23301;100;583;100;47295;100;656;100
120;67532;100;605;100;36373;100;613;100;73535;100;692;100
160;105945;100;633;100;63251;100;646;100;99682;100;743;100
