Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;15;100;0;100;14;100;0;100;15;100
2;0;100;30;100;0;100;29;100;0;100;30;100
3;0;0;45;0;0;15;44;5;0;0;45;0
4;0;0;60;0;0;20;59;15;0;0;60;0
5;0;0;75;0;0;25;75;15;0;0;76;0
6;3;100;90;100;2;100;90;100;1;100;91;100
7;4;0;105;0;2;0;105;0;2;0;106;0
8;11;0;121;0;3;0;120;0;8;0;122;0
9;20;100;136;100;9;100;135;100;16;100;138;100
10;23;0;151;0;10;0;151;0;19;0;153;0
11;32;0;166;0;12;0;166;0;27;0;169;0
12;41;0;182;0;15;0;181;0;35;0;184;0
13;52;0;197;0;18;0;196;0;45;0;200;0
14;87;100;212;100;41;100;212;100;105;100;216;100
15;103;0;228;0;46;0;227;0;120;0;232;0
16;129;0;243;0;60;10;243;15;140;0;248;0
17;144;0;259;0;67;0;262;0;155;0;267;0
18;177;0;275;0;75;0;278;0;186;0;284;0
19;230;0;292;0;108;45;293;30;236;0;300;0
20;276;0;308;0;117;0;309;0;281;0;317;0
21;319;0;324;0;128;0;326;0;321;0;333;0
22;511;100;340;100;191;100;341;100;618;100;353;100
23;566;0;357;0;206;0;358;0;672;0;370;0
24;642;0;373;0;221;0;374;0;743;0;387;0
25;692;0;389;0;238;0;390;0;790;0;404;0
26;729;0;405;0;256;0;406;0;826;0;420;0
27;788;0;421;0;276;0;422;0;883;0;436;0
28;878;0;437;0;299;0;439;0;971;0;453;0
29;924;0;453;0;322;0;455;0;1015;0;470;0
30;976;0;470;0;348;0;471;0;1066;0;486;0
31;1111;0;486;0;376;0;487;0;1196;0;503;0
32;1171;0;502;0;406;0;504;0;1255;0;520;0
33;1271;0;519;0;439;0;520;0;1351;0;537;0
34;1427;0;535;0;466;0;536;0;1501;0;554;0
35;1550;0;552;0;507;0;553;0;1623;0;572;0
36;1667;0;570;0;545;0;570;0;1738;0;590;0
80;2417;0;587;0;797;0;587;0;2467;0;608;0
100;4250;0;605;0;1261;0;603;0;4271;0;627;0
120;5655;0;622;0;1980;0;621;0;5687;0;646;0
160;8321;0;641;0;3319;0;639;0;8318;0;665;0
