Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;15;100;0;100;16;100;0;100;14;100
2;0;100;30;100;0;100;29;100;0;100;28;100
3;0;100;43;100;0;100;42;100;0;100;41;100
4;0;100;57;100;0;100;56;100;0;100;55;100
5;0;100;70;100;0;100;69;100;0;100;69;100
6;0;100;83;100;0;100;82;100;0;100;82;100
7;2;100;96;100;0;100;95;100;1;100;96;100
8;5;100;110;100;1;100;109;100;3;100;110;100
9;7;100;123;100;2;100;122;100;5;100;124;100
10;13;100;136;100;3;100;135;100;9;100;138;100
11;20;100;150;100;5;100;149;100;15;100;152;100
12;26;100;163;100;8;100;162;100;20;100;166;100
13;33;100;176;100;11;100;175;100;27;100;181;100
14;47;100;190;100;15;100;189;100;40;100;195;100
15;58;100;203;100;20;100;202;100;51;100;209;100
16;69;100;217;100;25;100;216;100;61;100;223;100
17;81;100;231;100;31;100;230;100;72;100;238;100
18;97;100;244;100;39;100;244;100;88;100;252;100
19;124;100;258;100;49;100;258;100;114;100;267;100
20;143;100;273;100;58;100;272;100;133;100;281;100
21;216;100;287;100;68;100;286;100;203;100;296;100
22;240;100;301;100;80;100;300;100;226;100;310;100
23;266;100;316;100;93;100;314;100;252;100;325;100
24;340;100;330;100;108;100;328;100;321;100;339;100
25;389;100;344;100;125;100;343;100;368;100;354;100
26;423;100;358;100;142;100;357;100;400;100;369;100
27;481;100;373;100;161;100;371;100;457;100;383;100
28;571;100;387;100;184;100;386;100;544;100;398;100
29;621;100;402;100;209;100;400;100;592;100;413;100
30;673;100;417;100;235;100;414;100;643;100;428;100
31;754;100;431;100;263;100;429;100;721;100;443;100
32;813;100;446;100;292;100;443;100;778;100;458;100
33;911;100;461;100;325;100;458;100;874;100;474;100
34;1061;100;475;100;350;100;473;100;1020;100;489;100
35;1181;100;490;100;391;100;487;100;1136;100;504;100
36;1294;100;505;100;428;100;502;100;1247;100;520;100
80;2021;100;520;100;672;100;517;100;1966;100;536;100
100;3856;100;536;100;1134;100;533;100;3756;100;553;100
120;5241;100;552;100;1828;100;548;100;5133;100;569;100
160;7831;100;568;100;3139;100;563;100;7815;100;587;100
